null,null,null,null,null,null,null,null
048550,SM C&C,"1,590","-60","-3.64","1,745,888,765","149,557,031,340",0
063440,SM Life Design,"1,575","-35","-2.17","2,905,788,700","70,920,917,550",0
289080,SV인베스트먼트,"3,105","-90","-2.82","13,329,441,665","165,291,570,000",0
089230,THE E&M,"611","-7","-1.13","621,891,690","75,976,735,536",0
161570,THE MIDONG,"2,030","-35","-1.69","315,599,555","27,997,325,580",0
032540,TJ미디어,"2,875","20","0.70","87,681,375","40,053,375,875",0
048770,TPC,"3,190","95","3.07","763,973,835","43,002,080,440",0
246690,TS인베스트먼트,"2,775","60","2.21","13,806,120,805","62,218,286,100",0
038340,UCI,"3,170","-15","-0.47","239,985,875","104,975,884,570",0
073570,WI,"1,570","0","0.00","1,163,746,570","111,797,580,500",0
052300,W홀딩컴퍼니,"313","-6","-1.88","10,625,677,310","64,013,605,656",0
057030,YBM넷,"6,080","10","0.16","20,590,100,530","99,181,197,760",0
040300,YTN,"2,050","20","0.99","923,872,380","86,100,000,000",0
051390,YW,"3,630","15","0.41","47,295,750","41,219,985,840",0
052220,iMBC,"2,195","-50","-2.23","307,900,590","50,485,000,000",0
079940,가비아,"14,450","-900","-5.86","20,022,359,850","195,590,633,800",0
078890,가온미디어,"5,910","40","0.68","679,593,910","89,089,071,630",0
192410,감마누,"-","0","0.00","0","9,969,806,400",0
217730,강스템바이오텍,"8,350","-130","-1.53","17,411,125,950","175,178,298,950",0
114190,강원,"-","0","0.00","0","45,387,277,500",0
094480,갤럭시아컴즈,"3,580","-40","-1.10","876,132,835","140,442,820,040",0
063080,게임빌,"24,700","-50","-0.20","434,435,900","162,901,242,400",0
044480,경남바이오파마,"4,590","-70","-1.50","555,168,025","61,968,167,100",0
039240,경남스틸,"1,520","15","1.00","76,296,285","38,000,000,000",0
053950,경남제약,"7,830","-300","-3.69","1,911,602,690","133,528,607,460",0
011040,경동제약,"8,300","170","2.09","395,719,060","220,365,000,000",0
024910,경창산업,"858","-12","-1.38","38,045,942","30,732,706,290",0
198440,고려시멘트,"3,365","-70","-2.04","29,536,206,175","107,612,565,400",0
049720,고려신용정보,"5,480","-20","-0.36","570,609,580","78,364,000,000",0
014570,고려제약,"8,070","-100","-1.22","1,667,904,480","88,770,000,000",0
098460,고영,"81,100","-1,400","-1.70","4,471,807,500","1,113,580,126,100",0
038530,골드퍼시픽,"2,295","75","3.38","1,396,497,145","77,706,310,905",0
215000,골프존,"53,500","900","1.71","4,218,923,700","335,734,702,500",0
121440,골프존뉴딘홀딩스,"3,380","0","0.00","568,274,290","144,788,444,840",0
014200,광림,"1,780","5","0.28","427,282,950","94,201,576,520",0
026910,광진실업,"2,890","65","2.30","630,571,735","18,511,620,450",0
090150,광진윈텍,"2,610","-85","-3.15","337,399,570","25,208,405,730",0
307280,교보8호스팩,"2,030","0","0.00","0","7,551,600,000",0
331520,교보9호스팩,"-","0","0.00","0","7,760,000,000",0
053270,구영테크,"1,390","10","0.72","701,190,675","36,687,901,860",0
066620,국보디자인,"14,100","0","0.00","248,357,000","105,750,000,000",0
043650,국순당,"-","0","0.00","0","64,200,602,880",0
006050,국영지앤엠,"2,680","185","7.41","30,252,676,440","93,519,251,240",0
060480,국일신동,"3,280","80","2.50","664,057,355","36,375,200,000",0
078130,국일제지,"6,020","30","0.50","22,262,062,280","760,617,271,680",0
204020,그리티,"2,345","20","0.86","271,453,945","47,245,723,350",0
186230,그린플러스,"9,000","90","1.01","1,991,421,410","43,414,839,000",0
204620,글로벌텍스프리,"3,100","55","1.81","516,430,940","115,488,075,800",0
019660,글로본,"2,665","-95","-3.44","170,512,095","77,506,557,440",0
032860,글로스퍼랩스,"268","9","3.47","1,304,247,464","19,713,769,120",0
053260,금강철강,"2,825","45","1.62","141,884,030","52,884,000,000",0
036190,금화피에스시,"28,400","50","0.18","102,696,100","170,400,000,000",0
049080,기가레인,"1,120","30","2.75","376,301,495","58,549,254,400",0
035460,기산텔레콤,"2,700","-95","-3.40","937,022,555","39,358,818,000",0
308100,까스텔바작,"10,850","100","0.93","2,572,233,600","71,574,195,000",0
187790,나노,"1,480","55","3.86","455,461,150","38,180,825,400",0
286750,나노브릭,"9,740","10","0.10","67,388,180","44,415,403,220",0
151910,나노스,"4,005","-345","-7.93","1,121,650,380","595,244,514,735",0
121600,나노신소재,"12,500","-200","-1.57","867,702,600","135,604,162,500",0
039860,나노엔텍,"7,740","120","1.57","5,836,831,470","206,128,792,980",0
091970,나노캠텍,"2,090","10","0.48","1,745,764,465","53,723,719,610",0
051490,나라엠앤디,"3,370","70","2.12","155,175,510","47,854,000,000",0
190510,나무가,"14,100","100","0.71","1,093,659,000","96,882,369,000",0
242040,나무기술,"4,370","-210","-4.59","10,099,668,530","127,332,273,400",0
089600,나스미디어,"28,850","550","1.94","2,592,717,150","252,572,835,350",0
293580,나우IB,"4,730","-70","-1.46","1,342,925,015","44,840,400,000",0
138610,나이벡,"9,520","-60","-0.63","449,364,910","94,276,360,080",0
130580,나이스디앤비,"8,380","200","2.44","418,894,750","129,052,000,000",0
036800,나이스정보통신,"29,600","500","1.72","1,488,425,200","296,000,000,000",0
267320,나인테크,"1,790","175","10.84","10,465,171,110","61,938,065,090",0
111710,남화산업,"11,600","0","0.00","1,559,170,250","238,820,800,000",0
091590,남화토건,"14,450","200","1.40","9,664,668,600","169,643,000,000",0
