종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
086520,에코프로,"20,200","200","1.00","3,336,413,700","446,221,858,200"
247540,에코프로비엠,"73,000","0","0.00","14,925,049,700","1,530,384,118,000"
183490,엔지켐생명과학,"75,100","1,500","2.04","6,570,200,100","590,606,076,200"
182400,엔케이맥스,"12,000","-200","1.64","2,705,141,550","377,688,216,000"
061970,엘비세미콘,"7,200","-1,260","14.89","138,148,092,700","315,249,062,400"
066970,엘앤에프,"19,100","100","0.53","4,054,061,900","472,891,723,900"
097520,엠씨넥스,"29,750","100","0.34","12,982,888,050","531,438,589,500"
115960,연우,"19,250","-150","0.77","954,533,800","238,661,500,000"
039200,오스코텍,"22,300","-250","1.11","4,924,924,000","651,166,935,300"
048260,오스템임플란트,"32,900","550","1.70","6,359,053,850","470,000,089,300"
138080,오이솔루션,"39,400","-750","1.87","7,875,989,150","418,589,343,000"
122990,와이솔,"10,350","0","0.00","1,944,899,950","291,579,589,350"
019210,와이지-원,"4,895","-55","1.11","617,087,815","149,658,844,005"
122870,와이지엔터테인먼트,"29,650","100","0.34","5,974,835,700","539,742,936,850"
215360,우리산업,"18,000","150","0.84","1,566,944,350","164,378,934,000"
240810,원익IPS,"27,850","550","2.01","12,811,338,900","1,366,986,642,850"
104830,원익머트리얼즈,"24,050","-50","0.21","2,409,480,250","303,222,400,000"
030530,원익홀딩스,"3,785","80","2.16","1,930,200,830","292,345,758,085"
069080,웹젠,"16,650","-200","1.19","3,722,955,200","587,926,218,600"
044340,위닉스,"18,650","600","3.32","14,834,597,800","333,339,376,250"
112040,위메이드,"23,650","800","3.50","4,957,764,900","397,320,000,000"
023410,유진기업,"4,135","105","2.61","5,282,718,965","319,680,418,505"
263050,유틸렉스,"61,000","-1,700","2.71","6,092,396,000","453,274,774,000"
272290,이녹스첨단소재,"36,650","600","1.66","3,022,268,250","348,266,368,450"
102710,이엔에프테크놀로지,"26,500","300","1.15","8,833,373,700","377,037,654,000"
095190,이엠코리아,"3,415","-35","1.01","1,330,682,650","124,076,184,160"
039030,이오테크닉스,"72,500","1,400","1.97","21,039,799,300","893,167,375,000"
035810,이지바이오,"-","0","0.00","0","246,770,515,260"
